"","a_log","a12","h12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-2e-04","1e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","615"
"2","-1","-5e-05","1e-04","-5","0.2","0.2","NaN","-1.44304031235606","-0.00032509410623091","-5.22741004761789","3.26303700679318e-05","0.437795060115104","0.276423647433275","0","2872.5244757905","-1417.51231216847","120"
"3","-2","1e-04","-2e-04","-2","0.2","0.2","NaN","-1.99411642874192","-0.000281423166524688","-2.05888670535138","-0.00089379744359822","0.537797972389306","0.238087566333315","0","3147.32449674816","-1554.9123226473","448"
"4","-1.5","-0.00035","-0.00035","-2","0.2","0.2","NaN","-1.50239960737055","-0.000428200707929012","-1.99894225375383","-0.000822588104275277","0.403195489063778","0.200550431349963","0","3277.97145766386","-1620.23580310515","409"
"5","-2","-5e-04","-0.00035","-4","0.2","0.2","NaN","-1.30952290607464","-0.00045561617823332","-4.02822119564087","-4.82124163030367e-05","0.422980362470504","0.280899049762841","0","2862.16388591901","-1412.33201723273","153"
"6","-1.5","1e-04","-2e-04","-2","0.2","0.2","NaN","-1.75900425377751","-0.00190050263475217","-1.86534091574701","-0.171908125239115","0.679527051300875","0.287150275451624","0","3334.54103415938","-1648.52059135291","449"
"7","-3","-2e-04","1e-04","-2","0.2","0.2","NaN","-3.05450077357522","-0.00133080892636134","-2.02624551474759","-0.120570118871866","0.647661582678906","0.28004149977607","0","3317.62544100177","-1640.06279477411","486"
"8","-2","-5e-05","-0.00035","-1","0.2","0.2","NaN","-1.88107580287483","-0.00170708957097414","-1.36641539241938","-0.205436082522377","0.69120644636987","0.277806947369767","0","3335.7611862555","-1649.13066740097","543"
"9","-2.5","-2e-04","-5e-04","-1","0.2","0.2","NaN","-2.43510504354004","-0.00207371701045849","-1.13479937150868","-0.223553231806282","0.678162582803803","0.277013925089377","0","3343.50705985721","-1653.00360420183","512"
"10","-1.5","-2e-04","-2e-04","-4","0.2","0.2","NaN","-1.40707857785884","-0.000363972743639421","-4.62123996193129","-4.22333122107531e-06","0.422202652330496","0.279381260518983","0","2860.94748426399","-1411.72381640521","189"
"11","-2.5","-2e-04","1e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","237"
"12","-1.5","-5e-05","-5e-04","-3","0.2","0.2","NaN","-1.19704801839019","-0.000552828868120326","-3.0705645291442","-0.000197716580747624","0.445341418487061","0.281321934478503","0","2916.89774834877","-1439.69894844761","269"
"13","-3","-2e-04","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","511"
"14","-3","-5e-05","-2e-04","-3","0.2","0.2","NaN","-6.87970531638598","0.0159401894731111","-1.90182345325196","-1.3277662480028","0.687788330697982","0.280431418894137","0","3365.83100574399","-1664.16557714521","316"
"15","-2.5","1e-04","-5e-05","-2","0.2","0.2","NaN","-1.1170322978375","-0.000735325436617217","-1.98640090425809","-0.00063131863850309","0.510038849369673","0.280533798447307","0","3057.01741908632","-1509.75878381638","472"
"16","-1","1e-04","1e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","500"
