"","a_log","a12","h12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-2e-04","1e-04","-1","0.2","0.2","NaN","-1.30811935528869","-0.0013618149942672","-1.11143033956621","0.086631951367683","0.586233651855777","0.287229143795391","0","3196.32346350099","-1579.41180602372","615"
"2","-1","-5e-05","1e-04","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","120"
"3","-2","1e-04","-2e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","448"
"4","-1.5","-0.00035","-0.00035","-2","0.2","0.2","NaN","-1.50946328160393","-0.000429529197221048","-1.99615298087773","-0.000624010362372193","0.400121748961995","0.202092324413371","0","3103.88254570554","-1533.19134712599","409"
"5","-2","-5e-04","-0.00035","-4","0.2","0.2","NaN","-2.24790227080074","7.43270984496573e-05","-3.53740687032725","-5.70049848887001e-05","0.46272864470873","0.274746549127754","0","2914.82235808205","-1438.66125331425","153"
"6","-1.5","1e-04","-2e-04","-2","0.2","0.2","NaN","-1.32143370926515","-0.000552132896544654","-2.37707882036416","-0.00041053238968725","0.393036428428128","0.281093600214576","0","2964.10972291472","-1463.30493573058","449"
"7","-3","-2e-04","1e-04","-2","0.2","0.2","NaN","-3.10097317034732","-0.00138400104492979","-1.942986791099","-0.159487334637848","0.597793776625787","0.284742126750815","0","3169.01439349026","-1565.75727101835","486"
"8","-2","-5e-05","-0.00035","-1","0.2","0.2","NaN","-2.10608555442854","-0.00285943671946805","-1.03824222268549","-0.145156586004337","0.603839880820214","0.278325302003074","0","3200.57971302858","-1581.53993078751","543"
"9","-2.5","-2e-04","-5e-04","-1","0.2","0.2","NaN","-2.44100178315451","-0.00324364226939294","-0.91671331466285","-0.283428397535333","0.586898029208481","0.283642646514749","0","3164.25158550146","-1563.37586702395","512"
"10","-1.5","-2e-04","-2e-04","-4","0.2","0.2","NaN","-1.58089947459753","-0.00099281554533385","-3.54444176268709","0.15346111511714","0.604282922884122","0.27369022185166","0","3192.8977471895","-1577.69894786797","189"
"11","-2.5","-2e-04","1e-04","-4","0.2","0.2","NaN","-1.77036518627558","-0.000146762172622542","-3.86947893334497","-4.98034551489204e-05","0.427680036790699","0.280163748760114","0","2871.72908181096","-1417.1146151787","237"
"12","-1.5","-5e-05","-5e-04","-3","0.2","0.2","NaN","-1.6544364570938","-0.000209539469155446","-3.29452140612092","-8.9259608430333e-05","0.429354930694358","0.277284440333355","0","2880.60609346133","-1421.55312100389","269"
"13","-3","-2e-04","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","511"
"14","-3","-5e-05","-2e-04","-3","0.2","0.2","NaN","-2.87657751652375","-0.00172417344881623","-3.10459328564556","-0.122785454261934","0.568413270534973","0.280568090538053","0","3165.71897930407","-1564.10956392526","316"
"15","-2.5","1e-04","-5e-05","-2","0.2","0.2","NaN","-2.46765375992655","0.000131172234612969","-2.16997769132507","-0.00023389127945095","0.486483683218963","0.285539650196337","0","3000.02798065245","-1481.26406459945","472"
"16","-1","1e-04","1e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","500"
"17","-3","-2e-04","1e-04","-1","0.2","0.2","NaN","-3.0081373043413","0.000215466557394294","-1.00702404436998","-0.00074510326861233","0.482408499958219","0.2897996431904","0","3099.5172454241","-1531.00869698527","611"
"18","-1","-5e-04","-5e-05","-3","0.2","0.2","NaN","-0.997862468188357","-0.00070683474129102","-2.55273779176551","-0.000228554007650994","0.483912700417353","0.280070195621245","0","2998.7292922741","-1480.61472041027","330"
"19","-2","-5e-04","-0.00035","-5","0.2","0.2","NaN","-2.33434992562907","0.000103350042258419","-4.84624182424537","-6.82361602475532e-06","0.490079604024379","0.247951452105759","0","2931.66949324224","-1447.08482089434","28"
"20","-1.5","-2e-04","-5e-05","-5","0.2","0.2","NaN","-1.63968492663061","-0.00480127447627679","-4.65695013282637","-0.37660544340769","0.585513318699771","0.281336251784712","0","3223.16866595434","-1592.83440725039","89"
"21","-2.5","-5e-04","-5e-04","-5","0.2","0.2","NaN","-2.39858003024802","-0.00333755018325394","-4.90433615023169","-0.216265586691809","0.585353257830056","0.273622097556009","0","3177.27414405981","-1569.88714630312","2"
"22","-2","-5e-05","-2e-04","-4","0.2","0.2","NaN","-2.15894572706897","4.0090598931741e-05","-3.75238463511504","-4.65215997412098e-05","0.440179775679262","0.271228235304663","0","2898.92056039845","-1430.71035447245","193"
"23","-3","-0.00035","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","531"
"24","-3","-2e-04","-5e-05","-1","0.2","0.2","NaN","-2.94998270431993","0.000212038944367067","-1.0576019970064","-0.000708784657028491","0.53207191501648","0.279984446385901","0","3085.34552170276","-1523.9228351246","586"
"25","-3","-0.00035","1e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","481"
"26","-1","-5e-04","1e-04","-3","0.2","0.2","NaN","-1.00047627722602","-0.000707452470119745","-2.55862326152577","-0.00023028471670446","0.482909555242888","0.279855524683952","0","2997.84406045721","-1480.17210450183","355"
"27","-2.5","-5e-04","-5e-05","-4","0.2","0.2","NaN","-1.84543860110451","-0.000107800552227125","-4.02307849742328","-4.0957940645719e-05","0.424644702537537","0.290196510393297","0","2873.65432513395","-1418.0772368402","202"
"28","-1.5","-5e-05","1e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","494"
"29","-3","-5e-04","-2e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","426"
"30","-2","-5e-05","-5e-04","-5","0.2","0.2","NaN","-1.82712655186552","-0.00033383619830722","-5.14526774297864","0.0968889848528081","0.553525735536082","0.277486151968287","0","3189.41652362392","-1575.95833608518","18"
"31","-3","-0.00035","1e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","606"
"32","-2.5","-0.00035","-5e-05","-5","0.2","0.2","NaN","-2.31298339268472","-0.0788340305182443","-5.43359486353044","-0.97389564681378","0.595212244333433","0.280068323753655","0","3213.59221766172","-1588.04618310408","82"
"33","-2","-0.00035","1e-04","-2","0.2","0.2","NaN","-1.95391836179381","-0.00495041315481464","-2.04168602417375","-0.094281584819909","0.558545054475162","0.276612065623415","0","3166.85366503007","-1564.67690678826","483"
"34","-1.5","-5e-04","-2e-04","-1","0.2","0.2","NaN","-1.39613997534548","0.00495338972107842","-0.922084349581381","-0.32169740462563","0.582754393261683","0.28131000654069","0","3211.03952946638","-1586.76983900641","554"
"35","-3","1e-04","-2e-04","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","71"
"36","-3","-0.00035","-2e-04","-4","0.2","0.2","NaN","-3.11799351754308","0.00031338844931159","-4.41317304259872","-6.71304578768505e-06","0.505983807714838","0.280604206253198","0","2985.45500570762","-1473.97757712703","181"
"37","-1","-0.00035","-0.00035","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","410"
"38","-2","-0.00035","-5e-05","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","333"
"39","-1","1e-04","-5e-05","-3","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","350"
"40","-2","-5e-04","-5e-04","-4","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","128"
"41","-2","1e-04","1e-04","-4","0.2","0.2","NaN","-1.77666620488506","-0.000143739630259685","-3.91671362945656","-4.74350857128783e-05","0.427604490481996","0.280267308871646","0","2871.6874370176","-1417.09379278202","248"
"42","-3","-2e-04","-5e-05","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","461"
"43","-2.5","-5e-04","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","402"
"44","-1.5","-0.00035","-5e-04","-4","0.2","0.2","NaN","-1.57273587051712","-0.00105316276191515","-3.89421993278116","0.0874945648606158","0.575613189416362","0.275618147707129","0","3180.27968055023","-1571.38991454834","134"
"45","-1","-5e-04","-2e-04","-4","0.2","0.2","NaN","6.97282826337721","-74.4746780307945","-6979.26680059273","0.331715482495004","0.587754430029947","0.279977850229399","0","3199.73184776476","-1581.1159981556","180"
"46","-1","1e-04","-0.00035","-4","0.2","0.2","NaN","-0.645408640749307","-0.00872417591541967","-4.16438602249044","0.173589903408309","0.583168159146875","0.279859883033","0","3194.9932467018","-1578.74669762412","175"
"47","-1","1e-04","-5e-04","-1","0.2","0.2","NaN","-1.01966436253029","-0.00179012803347456","-1.25264985164373","0.153110325137354","0.581289367577422","0.276967557602069","0","3193.45155180035","-1577.9758501734","525"
"48","-2.5","-0.00035","1e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","482"
"49","-3","-5e-05","1e-04","-3","0.2","0.2","NaN","-3.03042758713327","-0.0016097161603971","-3.07468041770449","-0.200544030122512","0.615117044505605","0.281018089345072","0","3170.12563866683","-1566.31289360664","366"
"50","-2","-5e-05","-2e-04","-2","0.2","0.2","NaN","-1.87740977306331","-7.92896838761183e-05","-2.43811349847096","-0.000186305658882932","0.473926093123376","0.292179552146151","0","2941.94069489928","-1452.22042172286","443"
"51","-2","-0.00035","-0.00035","-5","0.2","0.2","NaN","-2.00454866371915","-3.23286170638295e-05","-4.78978494607482","-1.12560863335997e-05","0.428378089075677","0.295393441448167","0","2885.08931357754","-1423.79473106199","33"
"52","-1.5","-0.00035","1e-04","-3","0.2","0.2","NaN","-1.53932923913787","-0.000276990908373582","-2.97247600626316","-0.000123240069945024","0.437318379787193","0.280114874827996","0","2894.39218736646","-1428.44616795645","359"
"53","-2.5","-5e-04","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","502"
"54","-1","1e-04","1e-04","-5","0.2","0.2","NaN","-0.700981885321596","-0.00828499122570063","-5.03934743648156","0.174793249261742","0.584892303097875","0.280251484770047","0","3194.64458490237","-1578.57236672441","125"
"55","-2","1e-04","-5e-05","-3","0.2","0.2","NaN","-1.62159935681838","-0.000223209271948445","-2.9854056036846","-0.000117805688955014","0.436755819159617","0.279963539947031","0","2892.56727729025","-1427.53371291835","348"
"56","-2","-0.00035","-2e-04","-3","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","308"
"57","-1.5","-5e-05","-5e-04","-1","0.2","0.2","NaN","-1.67469857078982","-0.00350138462452861","-1.07808842519486","-0.029622568708035","0.578877681247108","0.279906565451222","0","3188.11452963944","-1575.30733909294","519"
"58","-1.5","-0.00035","-5e-04","-5","0.2","0.2","NaN","-1.39881617463577","-0.000863781241455736","-5.27126878807299","0.047465335852631","0.598547043102263","0.290460183269275","0","3185.20191281972","-1573.85103068308","9"
"59","-3","1e-04","1e-04","-1","0.2","0.2","NaN","-2.98661272380509","-0.00164665695382291","-1.06954716113885","-0.185913765058431","0.617974377292139","0.276916213458224","0","3174.82947638521","-1568.66481246583","621"
"60","-2","-2e-04","-0.00035","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","538"
"61","-1.5","-5e-04","-0.00035","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","529"
"62","-1.5","1e-04","1e-04","-2","0.2","0.2","NaN","-1.56094960463573","-0.00231219762835494","-1.9943783603905","-0.0972174396182678","0.521457819868589","0.260788691252075","0","3196.91444849386","-1579.70729852015","499"
"63","-2.5","-0.00035","-0.00035","-4","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","157"
