"","a_log","a12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"1","-3","1e-04","-2","-1","-0.5","5e-04","0.001","5e-04","0.005","-10","0.2","0.2","156221","NaN","-2.73451179917138","0.000211592176432413","-2.27800415623354","-0.891005472798817","-0.334746141034246","0.000651708397469716","0.0045853059644358","0.00510237617082746","0.000358111066446697","-9.98034050749333","0.530026956302796","0.522621155782506","0","3644.51125165362","-1784.75577437325"
"2","-2","-5e-05","-5","-2","-3","0.005","5e-04","0.001","5e-04","-10","0.2","0.2","103518","NaN","-2.60435651971952","0.000187434226792579","-4.36521688605691","-1.64700107729681","-3.12331349374513","0.000607049903413685","0.00168593751541806","0.0127572065114805","-0.00153815733890074","-9.40252287051343","0.472150665270824","0.283617674301328","0","2976.41216500215","-1450.70623104752"
"3","-2","-2e-04","-3","-0.5","-1","0.001","5e-04","0.005","0.005","-5","0.2","0.2","265063","NaN","-1.67903929928076","-0.000263006995134786","-2.99992062299103","-0.77376783115541","-1.15638282690691","0.000600478032141605","0.00340583895978876","0.00492197726669763","0.000215738395506312","-4.65739880786245","0.421761328466654","0.318581840935129","0","3179.81149679459","-1552.40589694374"
"4","-2.5","1e-04","-5","-1","-0.5","0.001","0.005","0.005","5e-04","-10","0.2","0.2","120147","NaN","-1.71249630240073","-0.000194843709739758","-2.91037084866922","-1.15082580416822","-2.33119580899128","0.000687974257423059","0.00304369923202185","0.00664480782597932","-0.000514958735118723","-11.4581732265578","0.444610750687077","0.290845187550008","0","2971.97435781711","-1448.487327455"
"5","-1","-2e-04","-2","-0.5","-0.5","0.005","0.001","0.001","0.005","-15","0.2","0.2","77590","NaN","-0.961218379564157","-0.000948788299187555","-2.01504718351574","-0.428925892428669","-0.53289957128183","0.000660051832411921","0.0044038329047847","0.00472284367626884","0.000457929930743546","-14.9976129829455","0.902122306897731","0.91723667312667","0","4161.57150950005","-2043.28590329647"
"6","-1","-5e-05","-4","-1","-0.5","5e-04","5e-04","5e-04","5e-04","-15","0.2","0.2","920","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"7","-2.5","-5e-05","-2","-0.5","-1","0.005","0.005","0.001","0.005","-10","0.2","0.2","171717","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"8","-1.5","-5e-05","-1","-2","-0.5","5e-04","0.001","5e-04","0.001","-10","0.2","0.2","125744","NaN","-1.5073135021748","-0.000520699352427611","-0.954180356394143","-1.94136673029082","-0.459200764435189","0.00100623348925799","0.0066922129174712","0.00446167117554788","0.000380829039552723","-10.0045336028331","0.550631742800682","0.551222402299558","0","3619.72659537109","-1772.36344623199"
"9","-1.5","-2e-04","-1","-0.5","-0.5","0.001","0.001","0.001","0.001","-5","0.2","0.2","228364","NaN","-1.48137259008707","-0.00050996768918963","-1.00500694513101","-0.636621211015281","-0.513252543486379","0.000653072356593571","0.00292311359014367","0.00482050539121965","0.000299254573917642","-4.94071733263829","0.491484057562887","0.454488617430361","0","3671.36958747977","-1798.18494228633"
"10","-3","-5e-05","-5","-0.5","-3","0.001","0.005","0.005","5e-04","-10","0.2","0.2","119516","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"11","-3","-5e-04","-2","-2","-1","0.001","0.001","0.001","0.005","-15","0.2","0.2","75826","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","-2.5","-0.00035","-5","-0.5","-0.5","0.005","0.005","0.001","0.001","-5","0.2","0.2","232757","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"13","-1","-2e-04","-3","-0.5","-0.5","0.001","0.001","5e-04","0.001","-10","0.2","0.2","127065","NaN","-0.973278560523968","-0.000882933415397421","-3.00555004479323","-0.471755536895071","-0.45061649635557","0.000558558161172942","0.00334837776081588","0.00478542708643126","0.000388162936948579","-9.80420806706924","0.53584766794152","0.499741515248084","0","3516.24046435628","-1720.62038072458"
"14","-3","-0.00035","-1","-1","-0.5","0.001","0.001","5e-04","5e-04","-15","0.2","0.2","5481","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","-2","1e-04","-2","-2","-3","5e-04","0.001","5e-04","0.001","-15","0.2","0.2","33848","NaN","-1.92478221891745","-0.000239712672409739","-1.79716295806145","-1.8589375815799","-2.93732665351875","0.000792893924862391","0.00568121835190541","0.0110630199056022","-0.00121526275660757","-14.8633472907065","0.476328421823579","0.283751960375198","0","3024.34179309706","-1474.67104509497"
"16","-1.5","-5e-04","-5","-2","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","233629","NaN","-3.4404692298859","0.000206176199026916","-1.80129920168377","-2.38420206105663","-2.43278048381692","0.000829640979623284","0.00723635347937253","0.00739954016421171","-0.000535771137813443","-6.828532747112","0.517298223783198","0.297948569276535","0","3088.96830960108","-1506.98430334698"
"17","-1","-5e-04","-5","-0.5","-0.5","5e-04","5e-04","0.005","5e-04","-5","0.2","0.2","203505","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"18","-1","1e-04","-2","-2","-3","5e-04","5e-04","0.001","5e-04","-10","0.2","0.2","101350","NaN","-0.979520547969397","-0.000813443620868869","-2.00920410026138","-1.6270419227624","-2.94487773461655","0.000743140123427226","0.00474489305479436","0.0135053076883634","-0.00157047918243156","-10.0019224657538","0.610281537208418","0.31944830536191","0","3138.38972146356","-1531.69500927822"
"19","-3","-5e-04","-5","-1","-0.5","5e-04","0.005","5e-04","0.005","-10","0.2","0.2","159501","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","-2","-0.00035","-2","-2","-3","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","3458","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21","-1","-5e-05","-1","-0.5","-0.5","0.001","5e-04","0.005","5e-04","-5","0.2","0.2","204745","NaN","-0.997832345977675","-0.000906715770917997","-0.986108415836722","-0.500462041442577","-0.51898776679292","0.000626144634187256","0.00452146110933143","0.00547965442584141","0.00033971195088486","-4.9965422623074","0.505130205971161","0.392167014471022","0","3699.06864362585","-1812.03447035937"
